기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2025,11,서울특별시,원격대학,한국방송통신대학교,본교,국립,0,761694.9,2025-05-19,B552529,한국장학재단
2025,47,경상북도,원격대학,한국복지사이버대학교,본교,사립,0,1710000,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,전문대학,국제예술대학교,본교,사립,0,4722473.6,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,전문대학,백석예술대학교,본교,사립,0,8735596,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,전문대학,정화예술대학교,본교,사립,0,9300000,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,전문대학,한국골프과학기술대학교,본교,사립,0,7921956.5,2025-05-19,B552529,한국장학재단
2025,48,경상남도,전문대학,한국승강기대학교,본교,사립,0,6293665.3,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,원격대학,한국열린사이버대학교,본교,사립,0,2349103.4,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,강릉원주대학교,본교,국립,0,4256798.1,2025-05-19,B552529,한국장학재단
2025,51,강원특별자치도,대학,강원대학교,본교,국립,0,4179919,2025-05-19,B552529,한국장학재단
2025,27,대구광역시,대학,경북대학교,본교,국립,0,4514173.1,2025-05-19,B552529,한국장학재단
2025,48,경상남도,대학,경상국립대학교,본교,국립,0,4084328.8,2025-05-19,B552529,한국장학재단
2025,44,충청남도,대학,공주대학교,본교,국립,0,3858723.3,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,대학,군산대학교,본교,국립,0,3897282.2,2025-05-19,B552529,한국장학재단
2025,47,경상북도,대학,금오공과대학교,본교,국립,0,3770399.6,2025-05-19,B552529,한국장학재단
2025,46,전라남도,대학,목포대학교,본교,국립,0,3873166.8,2025-05-19,B552529,한국장학재단
2025,46,전라남도,대학,목포해양대학교,본교,국립,0,3409473.1,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,부경대학교,본교,국립,0,4046157.9,2025-05-19,B552529,한국장학재단
2025,26,부산광역시,대학,부산대학교,본교,국립,0,4472115.7,2025-05-19,B552529,한국장학재단
2025,11,서울특별시,대학,서울대학교,본교,국립,0,6058797.7,2025-05-19,B552529,한국장학재단
2025,46,전라남도,대학,순천대학교,본교,국립,0,3971633.4,2025-05-19,B552529,한국장학재단
2025,47,경상북도,대학,경국대학교,본교,국립,0,3787927.3,2025-05-19,B552529,한국장학재단
2025,29,광주광역시,대학,전남대학교,본교,국립,0,4192730.2,2025-05-19,B552529,한국장학재단
2025,52,전북특별자치도,대학,전북대학교,본교,국립,0,4447738.3,2025-05-19,B552529,한국장학재단
